	G.B.Acc	Name	Unigene	Symbol	Chromosome	Cytoband	Function	Ontology	Expt_75	Expt_76	Expt_92	Ratio
FBN2	H68783	yr91e12.r1 Soares fetal liver spleen 1NFLS Homo sapiens cDNA clone IMAGE:212686			7	-	-	collagen binding - integral to membrane - negative regulation of blood coagulation - negative regulation of cell adhesion - platelet activation - transmembrane receptor activity	21.30141923	16.00366831	4.99247785	14.09918846
GCM1	H57479	Hypothetical protein FLJ32810	Hs.269837	FLJ32810	11	11q22.1	-	GTPase activator activity	17.31638202	19.46982082	5.564597623	14.11693349
NEDD4L	AA011518	GRB2-associated binding protein 2	Hs.429434	GAB2	11	11q14.1	This gene is a member of the GRB2-associated binding protein (GAB) gene family and is similar to the GAB1 gene. These proteins contain pleckstrin homology (PH) domain, and bind SHP2 tyrosine phosphatase and GRB2 adapter protein. They act as adapters for transmitting various signals in response to stimuli through cytokine and growth factor receptors, and T- and B-cell antigen receptors. The protein encoded by this gene is the principal activator of phosphatidylinositol-3 kinase in response to activation of the high affinity IgE receptor. Two alternatively spliced transcripts encoding different isoforms have been described for this gene.	-	14.49212726	20.25508815	7.6046844	14.11729994
RASAL2	N49823	yv23g02.r1 Soares fetal liver spleen 1NFLS Homo sapiens cDNA clone	-	-	-	-	-	-	13.28125378	26.48795885	2.600514283	14.1232423
POLR2K	W86495	Coiled-coil-helix-coiled-coil-helix domain containing 7	Hs.436913	CHCHD7	8	8q12.1	-	-	13.5534437	25.79869944	3.091699884	14.14794767
	R52346	Homo sapiens transcribed sequences	-	-	-	-	-	-	18.98066378	20.20056737	3.263978384	14.14840318
	R14286	yf79h06.r1 Soares infant brain 1NIB Homo sapiens cDNA clone	-	-	-	-	-	-	3.54052364	25.15367229	13.78514188	14.15977927
	H89876	Major facilitator superfamily domain containing 8	Hs.480701	MFSD8	4	4q28.1-q28.2	-	-	17.6824135	22.33131793	2.503737739	14.17248972
MYL6	T98534	Stromal interaction molecule 1	Hs.501735	STIM1	11	11p15.5	This gene encodes a type 1 transmembrane protein of unknown function. It is one of several genes located in the imprinted gene domain of 11p15.5, an important tumor-suppressor gene region. Alterations in this region have been associated with the Beckwith-Wiedemann syndrome, Wilms tumor, rhabdomyosarcoma, adrenocrotical carcinoma, and lung, ovarian, and breast cancer. This gene may play a role in malignancies and disease that involve this region, as well as early hematopoiesis, by mediating attachment to stromal cells. This gene is oriented in a head-to-tail configuration with the ribonucleotide reductase 1 gene (RRM1), with the 3 end of this gene situated 1.6 kb from the 5 end of the RRM1 gene.	cell-cell adhesion|integral to plasma membrane|negative regulation of cell cycle|positive regulation of cell proliferation|protein binding	23.3905891	16.04476529	3.177451455	14.20426862
CSTB	H79410	Homo sapiens transcribed sequence with moderate similarity to protein ref:NP_062553.1 (H.sapiens) hypothetical protein FLJ11267 [Homo sapiens]	-	-	-	-	-	-	8.997056941	31.43530822	2.189093691	14.20715295
CIDEB	R50896	FP6778	Hs.191482	-	7	-	-	-	9.256845917	23.7585924	9.720394982	14.24527777
MAP4K4	AL534441	pantothenate kinase 3	Hs.591729	PANK3	5	5q34	-	-	14.5582094	21.37786937	6.806981322	14.2476867
CHRNA5	N73140	A kinase (PRKA) anchor protein (yotiao) 9	Hs.651221	AKAP9	7	7q21-q22	The A-kinase anchor proteins (AKAPs) are a group of structurally diverse proteins which have the common function of binding to the regulatory subunit of protein kinase A (PKA) and confining the holoenzyme to discrete locations within the cell. This gene encodes a member of the AKAP family. Alternate splicing of this gene results in many isoforms that localize to the centrosome and the Golgi apparatus, and interact with numerous signaling proteins from multiple signal transduction pathways. These signaling proteins include type II protein kinase A, serine/threonine kinase protein kinase N, protein phosphatase 1, protein phosphatase 2a, protein kinase C-epsilon and phosphodiesterase 4D3.	centrosome - cytoskeleton - protein binding - receptor binding - signal transduction - synaptic transmission - transport	14.23273176	24.86095809	3.678593273	14.25742771
COL5A1	T83006	OTU domain containing 7B	Hs.98322	OTUD7B	1	1q21.2	-	DNA binding|cysteine-type peptidase activity|nucleus|ubiquitin cycle|zinc ion binding	14.75708036	25.86132669	2.163119959	14.260509
	H48316	Homo sapiens transcribed sequence with weak similarity to protein ref:NP_009056.1 (H.sapiens) ubiquitously transcribed tetratricopeptide repeat gene, Y chromosome; Ubiquitously transcribed TPR gene on Y chromosome [Homo sapiens]	-	-	-	-	-	-	9.941487415	26.31744654	6.664374501	14.30776949
PC	T81234	Activity-dependent neuroprotector	Hs.570355	ADNP	20	20q13.13	Vasoactive intestinal peptide (VIP) is a neuroprotective factor that has been shown to have a stimulatory effect on the growth of some tumor cells and an inhibitory effect on others. The protein encoded by this gene is upregulated by VIP and may be involved in the stimulatory effect of VIP on certain tumor cells. The encoded protein contains one homeobox and nine zinc finger domains, suggesting that it functions as a transcription factor. This gene is also upregulated in normal proliferative tissues. Finally, the encoded protein may increase the viability of certain cell types through modulation of p53 activity. Two transcript variants encoding the same protein have been found for this gene.	nucleus - regulation of transcription, DNA-dependent - transcription factor activity - zinc ion binding	14.59836869	24.11216334	4.237586424	14.31603948
ACOT7	H86400	sperm antigen with calponin homology and coiled-coil domains 1	Hs.431045	SPECC1	17	17p11.2	-	-	15.3948094	22.88399656	4.715948935	14.33158497
NTRK2	BM837678	Keratin associated protein 4-7	Hs.632746	KRTAP4-7	15	17q12	This protein is a member of the keratin-associated protein (KAP) family. The KAP proteins form a matrix of keratin intermediate filaments which contribute to the structure of hair fibers. KAP family members appear to have unique, family-specific amino- and carboxyl-terminal regions and are subdivided into three multi-gene families according to amino acid composition: the high sulfur, the ultrahigh sulfur, and the high tyrosine/glycine KAPs. This protein is a member of the ultrahigh sulfur KAP family and the gene is localized to a cluster of KAPs at 17q12-q21.	keratin filament	12.27794382	25.950699	4.877926543	14.36885645
ITGA8	R18627	Amyloid beta precursor protein (cytoplasmic tail) binding protein 2	Hs.84084	APPBP2	17	17q21.1	The protein encoded by this gene interacts with microtubules and is functionally associated with beta-amyloid precursor protein transport and/or processing. The beta-amyloid precursor protein is a cell surface protein with signal-transducing properties, and it is thought to play a role in the pathogenesis of Alzheimers disease. This gene has been found to be highly expressed in breast cancer. Multiple polyadenylation sites have been found for this gene.	binding - cytoplasm - intracellular protein transport - membrane - microtubule associated complex - microtubule motor activity - nucleus	12.5894008	28.39007459	2.443683988	14.47438646
PSMA2	W20196	Churchill domain containing 1	Hs.325531	CHURC1	14	14q23.3	-	development|positive regulation of transcription|regulation of transcription, DNA-dependent|transcription|transcriptional activator activity|zinc ion binding	15.58212779	22.85513699	5.063105475	14.50012342
NSMCE2	H68017	yr76h04.r1 Soares fetal liver spleen 1NFLS Homo sapiens cDNA clone	-	-	-	-	-	-	13.80912419	27.30189845	2.467399496	14.52614071
PIGK	R15155	Homo sapiens transcribed sequence with weak similarity to protein ref:NP_060312.1 (H.sapiens) hypothetical protein FLJ20489 [Homo sapiens]	-	-	-	-	-	-	14.04646132	24.69973324	4.870477834	14.5388908
ANGEL1	T77970	Transcribed locus, weakly similar to XP_510104.1 similar to hypothetical protein FLJ25224 [Pan troglodytes]	Hs.271501	-	3	-	-	-	22.46700148	15.94870297	5.298593011	14.57143249
S100A6	N63842	za20b10.s1 Soares fetal liver spleen 1NFLS Homo sapiens cDNA clone	-	-	-	-	-	-	12.22345483	27.34180512	4.289250948	14.6181703
PLGRKT	AA004897	Transcribed locus, weakly similar to XP_510059.1 similar to hypothetical protein 5830457H20 [Pan troglodytes]	Hs.114194	-	9	-	-	-	9.163550834	26.31357791	8.433050217	14.63672632
CALM2	W03772	TRNA nucleotidyl transferase, CCA-adding, 1	Hs.567495	TRNT1	3	-	-	ATP binding|ATP binding|magnesium ion binding|mitochondrion|mitochondrion|nucleotide binding|protein-mitochondrial targeting|tRNA 3-processing|tRNA 3-processing|tRNA adenylyltransferase activity|tRNA adenylyltransferase activity|tRNA binding|tRNA binding|transferase activity	11.67858078	28.80972813	3.445989565	14.64476616
PSMC3	W03107	chromosome 16 open reading frame 72	Hs.221497	C16orf72	16	16p13.2	-	-	14.7876723	25.58022898	3.626732084	14.66487779
	T95234	ye44g06.r1 Soares fetal liver spleen 1NFLS Homo sapiens cDNA clone	-	-	-	-	-	-	17.64592298	22.32873062	4.071885721	14.68217977
PRG2	H53955	Death-associated protein kinase 1	Hs.380277	DAPK1	9	9q34.1	Death-associated protein kinase 1 is a positive mediator of gamma-interferon induced programmed cell death.  DAPK1 encodes a structurally unique 160-kD calmodulin dependent serine-threonine kinase that carries 8 ankyrin repeats and 2 putative P-loop consensus sites. It is a tumor suppressor candidate.	ATP binding - actin cytoskeleton - apoptosis - calcium- and calmodulin-dependent protein kinase activity - calmodulin binding - calmodulin-dependent protein kinase I activity - induction of apoptosis by extracellular signals - protein amino acid phosphorylation - protein kinase cascade - protein serine/threonine kinase activity - signal transduction - transferase activity	9.655936399	31.95437599	2.465318821	14.69187707
MSL1	H66019	Pipecolic acid oxidase	Hs.462585	PIPOX	17	17q11.2	-	L-pipecolate oxidase activity - electron transport - oxidoreductase activity - peroxisome - peroxisome - sarcosine oxidase activity - tetrahydrofolate metabolism	7.363511621	32.58112761	4.144773031	14.69647075
ADSSL1	R10945	Homo sapiens transcribed sequences	-	-	-	-	-	-	13.01997924	29.05484405	2.036587906	14.70380373
ZNF232	H62953	LOC440283	Hs.511626	-	15	15q22.2	-	-	16.25905688	24.34904197	3.609976646	14.7393585
CGNL1	BI670486	Fatty acid desaturase 1	Hs.503546	FADS1	11	11q12.2-q13.1	The protein encoded by this gene is a member of the fatty acid desaturase (FADS) gene family. Desaturase enzymes regulate unsaturation of fatty acids through the introduction of double bonds between defined carbons of the fatty acyl chain. FADS family members are considered fusion products composed of an N-terminal cytochrome b5-like domain and a C-terminal multiple membrane-spanning desaturase portion, both of which are characterized by conserved histidine motifs. This gene is clustered with family members FADS1 and FADS2 at 11q12-q13.1; this cluster is thought to have arisen evolutionarily from gene duplication based on its similar exon/intron organization.	cell-cell signaling - cellular response to starvation - fatty acid biosynthesis - fatty acid desaturation - fatty acid desaturation - icosanoid biosynthesis - integral to membrane - membrane - membrane fraction - microsome - oxidoreductase activity - oxidoreductase activity - oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water - phospholipid biosynthesis - regulation of cell differentiation - regulation of transcription	13.23100082	23.39092329	7.655792866	14.75923899
NOLC1	W03159	Rho guanine nucleotide exchange factor (GEF) 12	Hs.24598	ARHGEF12	11	11q23.3	Rho GTPases play a fundamental role in numerous cellular processes that are initiated by extracellular stimuli that work through G protein coupled receptors. The encoded protein may form a complex with G proteins and stimulate Rho-dependent signals. This protein is observed to form myeloid/lymphoid fusion partner in acute myeloid leukemia.	GTPase activator activity|protein binding	15.49629576	26.84998659	2.203342565	14.84987497
SLC13A3	R61410	CDNA FLJ35092 fis, clone PLACE6006077	Hs.436297	-	12	-	-	-	11.21597531	29.14933283	4.252935757	14.87274797
FAM122A	H14843	Iduronate 2-sulfatase (Hunter syndrome)	Hs.460960	IDS	X	Xq28	-	-	10.98759661	27.98980753	6.377611337	15.11833849
RAB2B	R10688	Transcribed locus, weakly similar to XP_524454.1 LOC469069 [Pan troglodytes]	Hs.268653	-	7		-	-	13.87353067	25.43399287	6.069110308	15.12554461
CLPX	AA011665	zi03b07.r1 Soares_fetal_liver_spleen_1NFLS_S1 Homo sapiens cDNA	-	-	-	-	-	-	11.71922858	28.5681714	5.103945022	15.13044834
GPSM1	H19397	ym46g04.r1 Soares infant brain 1NIB Homo sapiens cDNA clone	-	-	-	-	-	-	14.42647808	26.97845012	4.078043289	15.1609905
RNF138	H12151	Phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase	Hs.473648	GART	21	21q22.1	The protein encoded by this gene is a trifunctional polypeptide. It has phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase activity which is required for de novo purine biosynthesis. This enzyme is highly conserved in vertebrates. Alternative splicing of this gene results in two transcript variants encoding different isoforms.	de novo IMP biosynthesis - biosynthesis - catalytic activity - cytoplasm - ligase activity - phosphoribosylamine-glycine ligase activity - phosphoribosylformylglycinamidine cyclo-ligase activity - phosphoribosylglycinamide formyltransferase activity - purine base biosynthesis - purine nucleotide biosynthesis - transferase activity	15.19973326	24.54296552	5.761272612	15.16799046
